IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
SCAI;;;;;;;;;;;;;;
C9orf117;;;;;;;;;;;;;;
TUSC1;;;;;;;;;;;;;;
FAM78A;;;;;;;;;;;;;;
FOXD4L3;;;;;;;;;;;;;;
TUSC5;;;;;;;;;;;;;;
FAM149B1;;;;;;;;;;;;;;
RAB37;;;;;;;;;;;;;;
UBAC2;;;;;;;;;;;;;;
CHSY3;;;;;;;;;;;;;;
ANKRD13D;;;;;;;;;;;;;;
FAM19A2;;;;;;;;;;;;;;
RAB43;;;;;;;;;;;;;;
ARL16;;;;;;;;;;;;;;
ZNF546;;;;;;;;;;;;;;
CLEC4G;;;;;;;;;;;;;;
KLHL17;;;;;;;;;;;;;;
TMEM240;;;;;;;;;;;;;;
LOC339524;;;;;;;;;;;;;;
NAT8L;;;;;;;;;;;;;;
ZNF517;;;;;;;;;;;;;;
RSPO2;;;;;;;;;;;;;;
RP11-520B13.4;;;;;;;;;;;;;;
RGAG4;;;;;;;;;;;;;;
ZC3H12B;;;;;;;;;;;;;;
SATL1;;;;;;;;;;;;;;
CA5BP;;;;;;;;;;;;;;
VWA2;;;;;;;;;;;;;;
LOC340947;;;;;;;;;;;;;;
C12orf70;;;;;;;;;;;;;;
FMN1;;;;;;;;;;;;;;
STAC2;;;;;;;;;;;;;;
ANKRD62;;;;;;;;;;;;;;
ZSCAN5B;;;;;;;;;;;;;;
MYBPHL;;;;;;;;;;;;;;
KCNT2;;;;;;;;;;;;;;
C2orf55;;;;;;;;;;;;;;
SH3RF3;;;;;;;;;;;;;;
OSTN;;;;;;;;;;;;;;
ANKRD56;;;;;;;;;;;;;;
LRRTM3;;;;;;;;;;;;;;
PAR-SN;;;;;;;;;;;;;;
TPRXL;;;;;;;;;;;;;;
AC073135.1;;;;;;;;;;;;;;
HCN1;;;;;;;;;;;;;;
WDR86;;;;;;;;;;;;;;
DPY19L2P2;;;;;;;;;;;;;;
NMNAT3;;;;;;;;;;;;;;
LCE3C;;;;;;;;;;;;;;
SLCO4C1;;;;;;;;;;;;;;
POLN;;;;;;;;;;;;;;
BMP8A;;;;;;;;;;;;;;
FAM101B;;;;;;;;;;;;;;
GALNTL4;;;;;;;;;;;;;;
TPTE2P6;;;;;;;;;;;;;;
KIF7;;;;;;;;;;;;;;
EFCAB5;;;;;;;;;;;;;;
ATP9B;;;;;;;;;;;;;;
HSD11B1L;;;;;;;;;;;;;;
YJEFN3;;;;;;;;;;;;;;
PI1KAP2;;;;;;;;;;;;;;
LOC375196;;;;;;;;;;;;;;
LOC375295;;;;;;;;;;;;;;
LHFPL4;;;;;;;;;;;;;;
C3orf62;;;;;;;;;;;;;;
C5orf34;;;;;;;;;;;;;;
RAB15;;;;;;;;;;;;;;
LOC377711;;;;;;;;;;;;;;
KCTD8;;;;;;;;;;;;;;
MGC9913;;;;;;;;;;;;;;
THEMIS;;;;;;;;;;;;;;
HCRP1;;;;;;;;;;;;;;
ILDR2;;;;;;;;;;;;;;
C10orf140;;;;;;;;;;;;;;
AC002563.2;;;;;;;;;;;;;;
SERP2;;;;;;;;;;;;;;
C14orf23;;;;;;;;;;;;;;
C15orf59;;;;;;;;;;;;;;
C16orf87;;;;;;;;;;;;;;
C17orf100;;;;;;;;;;;;;;
C17orf76;;;;;;;;;;;;;;
CCDC103;;;;;;;;;;;;;;
RPRML;;;;;;;;;;;;;;
YPEL2;;;;;;;;;;;;;;
ZNF324B;;;;;;;;;;;;;;
SLC6A17;;;;;;;;;;;;;;
LYSMD1;;;;;;;;;;;;;;
C1orf53;;;;;;;;;;;;;;
TMEM81;;;;;;;;;;;;;;
C1orf31;;;;;;;;;;;;;;
C20orf107;;;;;;;;;;;;;;
C2orf81;;;;;;;;;;;;;;
C2orf80;;;;;;;;;;;;;;
C4orf50;;;;;;;;;;;;;;
C6orf126;;;;;;;;;;;;;;
IER5L;;;;;;;;;;;;;;
LCN15;;;;;;;;;;;;;;
LOC389895;;;;;;;;;;;;;;
C1QL1;;;;;;;;;;;;;;
ATP5G1P5;;;;;;;;;;;;;;
OR10K1;;;;;;;;;;;;;;
OR2L8;;;;;;;;;;;;;;
SUMO1P1;;;;;;;;;;;;;;
PPP1R28;;;;;;;;;;;;;;
FAM102A;;;;;;;;;;;;;;
LOC399815;;;;;;;;;;;;;;
AP004607.4;;;;;;;;;;;;;;
TUBAP2;;;;;;;;;;;;;;
C11orf87;;;;;;;;;;;;;;
KRT16P2;;;;;;;;;;;;;;
SH2D5;;;;;;;;;;;;;;
EML6;;;;;;;;;;;;;;
LOC401052;;;;;;;;;;;;;;
AC112641.2;;;;;;;;;;;;;;
FAM190A;;;;;;;;;;;;;;
RGS7BP;;;;;;;;;;;;;;
RP1-90J20.7;;;;;;;;;;;;;;
LINC00340;;;;;;;;;;;;;;
SAMD12;;;;;;;;;;;;;;
TOMM5;;;;;;;;;;;;;;
GOLGA7B;;;;;;;;;;;;;;
OR14I1;;;;;;;;;;;;;;
SOHLH1;;;;;;;;;;;;;;
HAPLN4;;;;;;;;;;;;;;
CTXN1;;;;;;;;;;;;;;
C16orf74;;;;;;;;;;;;;;
MIR133A1;;;;;;;;;;;;;;
FAM19A1;;;;;;;;;;;;;;
LOC407835;;;;;;;;;;;;;;
STX19;;;;;;;;;;;;;;
RGS21;;;;;;;;;;;;;;
KRTAP5-6;;;;;;;;;;;;;;
IQSEC3;;;;;;;;;;;;;;
LOC440084;;;;;;;;;;;;;;
LINC00545;;;;;;;;;;;;;;
C13orf37;;;;;;;;;;;;;;
UNC13C;;;;;;;;;;;;;;
ANKRD20A5P;;;;;;;;;;;;;;
NUDT4P1;;;;;;;;;;;;;;
P2RX6P;;;;;;;;;;;;;;
MIAT;;;;;;;;;;;;;;
AC013271.3;;;;;;;;;;;;;;
LOC440995;;;;;;;;;;;;;;
CRSP8P;;;;;;;;;;;;;;
AC106818.2;;;;;;;;;;;;;;
LOC441268;;;;;;;;;;;;;;
ANKRD20A1;;;;;;;;;;;;;;
na;;;;;;;;;;;;;;
AC034193.5;;;;;;;;;;;;;;
IGFL4;;;;;;;;;;;;;;
SULT1A4;;;;;;;;;;;;;;
C9orf129;;;;;;;;;;;;;;
C5orf53;;;;;;;;;;;;;;
RNF165;;;;;;;;;;;;;;
DFNB59;;;;;;;;;;;;;;
SPRN;;;;;;;;;;;;;;
DUXAP10;;;;;;;;;;;;;;
ATXN7L3B;;;;;;;;;;;;;;
PEF1;;;;;;;;;;;;;;
MIR31HG;;;;;;;;;;;;;;
ASPDH;;;;;;;;;;;;;;
DUSP5P;;;;;;;;;;;;;;
RP11-347C12.3;;;;;;;;;;;;;;
CTXN3;;;;;;;;;;;;;;
ERICH1-AS1;;;;;;;;;;;;;;
LOC642393;;;;;;;;;;;;;;
CTSL1P6;;;;;;;;;;;;;;
AC007601.1;;;;;;;;;;;;;;
LOC643037;;;;;;;;;;;;;;
FAM25A;;;;;;;;;;;;;;
ZNF862;;;;;;;;;;;;;;
LOC643750;;;;;;;;;;;;;;
LOC643827;;;;;;;;;;;;;;
RP11-206L10.11;;;;;;;;;;;;;;
ELMOD1;;;;;;;;;;;;;;
LOC644006;;;;;;;;;;;;;;
LOC644189;;;;;;;;;;;;;;
RP11-327J17.3;;;;;;;;;;;;;;
LOC644242;;;;;;;;;;;;;;
LOC644354;;;;;;;;;;;;;;
LINC00461;;;;;;;;;;;;;;
FLJ42627;;;;;;;;;;;;;;
RP11-29H23.1;;;;;;;;;;;;;;
LOC645937;;;;;;;;;;;;;;
CHEK2P2;;;;;;;;;;;;;;
LOC646627;;;;;;;;;;;;;;
LOC650621;;;;;;;;;;;;;;
ANKRD33B;;;;;;;;;;;;;;
ANXA8;;;;;;;;;;;;;;
PRB2;;;;;;;;;;;;;;
KIAA0895L;;;;;;;;;;;;;;
LOC653340;;;;;;;;;;;;;;
LOC653602;;;;;;;;;;;;;;
LYPLA2P1;;;;;;;;;;;;;;
LRTM2;;;;;;;;;;;;;;
LOC727726;;;;;;;;;;;;;;
RNF208;;;;;;;;;;;;;;
LOC727858;;;;;;;;;;;;;;
LOC727916;;;;;;;;;;;;;;
LOC727938;;;;;;;;;;;;;;
RHOXF2B;;;;;;;;;;;;;;
HEATR7A;;;;;;;;;;;;;;
LOC727967;;;;;;;;;;;;;;
LOC728056;;;;;;;;;;;;;;
KRTAP4-8;;;;;;;;;;;;;;
LOC728327;;;;;;;;;;;;;;
A26C1B;;;;;;;;;;;;;;
PPIEL;;;;;;;;;;;;;;
LOC728637;;;;;;;;;;;;;;
RP11-345P4.2;;;;;;;;;;;;;;
PRELID1P1;;;;;;;;;;;;;;
RP11-790G19.2;;;;;;;;;;;;;;
ANKRD20A8P;;;;;;;;;;;;;;
LOC729213;;;;;;;;;;;;;;
LOC729222;;;;;;;;;;;;;;
CETN4P;;;;;;;;;;;;;;
FAM108A5P;;;;;;;;;;;;;;
LOC729652;;;;;;;;;;;;;;
LOC729680;;;;;;;;;;;;;;
LOC729683;;;;;;;;;;;;;;
RRN3P1;;;;;;;;;;;;;;
C16ORF52;;;;;;;;;;;;;;
RP11-195F19.5;;;;;;;;;;;;;;
AC099797.1;;;;;;;;;;;;;;
TMEM170B;;;;;;;;;;;;;;
AC011511.1;;;;;;;;;;;;;;
LOC100126784;;;;;;;;;;;;;;
LOC100127998;;;;;;;;;;;;;;
LOC100128100;;;;;;;;;;;;;;
LOC100128174;;;;;;;;;;;;;;
ENSAP3;;;;;;;;;;;;;;
LOC100128822;;;;;;;;;;;;;;
RP11-257K9.7;;;;;;;;;;;;;;
ZNF37BP;;;;;;;;;;;;;;
PP13;;;;;;;;;;;;;;
LOC100129781;;;;;;;;;;;;;;
RP5-1027G4.3;;;;;;;;;;;;;;
LOC100130360;;;;;;;;;;;;;;
LOC100130856;;;;;;;;;;;;;;
RP11-544M22.1;;;;;;;;;;;;;;
LOC100131283;;;;;;;;;;;;;;
LOC100131289;;;;;;;;;;;;;;
LOC100131744;;;;;;;;;;;;;;
LOC100131943;;;;;;;;;;;;;;
RRN3P3;;;;;;;;;;;;;;
LOC100132214;;;;;;;;;;;;;;
LOC100132317;;;;;;;;;;;;;;
LOC100132351;;;;;;;;;;;;;;
LOC100132955;;;;;;;;;;;;;;
AC004980.7;;;;;;;;;;;;;;
LOC100133131;;;;;;;;;;;;;;
LOC100133150;;;;;;;;;;;;;;
LOC100133224;;;;;;;;;;;;;;
LOC100133593;;;;;;;;;;;;;;
LOC100133686;;;;;;;;;;;;;;
LOC100134229;;;;;;;;;;;;;;
PRINS;;;;;;;;;;;;;;
AC079341.1;;;;;;;;;;;;;;
LOC100286909;;;;;;;;;;;;;;
LOC100287080;;;;;;;;;;;;;;
LOC100287291;;;;;;;;;;;;;;
LOC100287347;;;;;;;;;;;;;;
RP11-305M3.3;;;;;;;;;;;;;;
LOC100287728;;;;;;;;;;;;;;
LOC100287872;;;;;;;;;;;;;;
AC108938.1;;;;;;;;;;;;;;
LOC100288618;;;;;;;;;;;;;;
ERLEC1P1;;;;;;;;;;;;;;
LOC100288893;;;;;;;;;;;;;;
LOC100288911;;;;;;;;;;;;;;
LOC100289600;;;;;;;;;;;;;;
ZNF605;;;;;;;;;;;;;;
LOC100290023;;;;;;;;;;;;;;
LOC100291956;;;;;;;;;;;;;;
LOC100292648;;;;;;;;;;;;;;
LOC100293763;;;;;;;;;;;;;;
LOC100294059;;;;;;;;;;;;;;
LOC100294469;;;;;;;;;;;;;;
RP3-404F18.2;;;;;;;;;;;;;;
MICA;;;;;;;;;;;;;;
